ind,loanAmount,intRate,installment,grade,annualInc,totCurBal,totalRevHiLim,totHiCredLim,totalBalExMort,totalBcLimit,totalIlHighCreditLimit,Dietz,blade
1," 16,000.00 ", 0.17 ,570.37,D," 46,071.55 "," 30,577.00 ",34300.00,34300,30577,29300,0,0.11,w
2," 28,000.00 ", 0.08 ,879.88,A," 99,996.00 "," 308,327.00 ",64800.00,352056,43850,47500,14756,-0.91,e
3," 27,675.00 ", 0.06 ,848.09,A," 102,000.00 "," 324,578.00 ",76400.00,388542,46920,60900,26339,0.06,r
4," 28,000.00 ", 0.07 ,864.44,A," 250,000.00 "," 501,876.00 ",125500.00,613368,58263,55500,17584,0.05,w
5," 4,000.00 ", 0.11 ,130.94,B," 42,000.00 "," 13,018.00 ",9600.00,28582,13018,3300,18982,0.06,e
6," 9,600.00 ", 0.14 ,328.02,C," 80,000.00 "," 167,873.00 ",47200.00,243356,22363,39200,41018,0.13,r
7," 28,200.00 ", 0.18 ,709.52,D," 65,000.00 "," 195,975.00 ",91300.00,229342,92380,47600,27372,-0.55,w
8," 16,425.00 ", 0.13 ,552.24,B," 40,000.00 "," 160,834.00 ",16900.00,178488,10893,11300,6588,0.08,e
9," 18,000.00 ", 0.07 ,552.67,A," 169,000.00 "," 110,277.00 ",64200.00,170938,110277,40400,106738,0.06,r
10," 24,000.00 ", 0.17 ,596.34,D," 100,000.00 "," 267,384.00 ",38400.00,289096,40163,17200,17596,-0.50,w
11," 11,000.00 ", 0.09 ,,A," 43,000.00 "," 23,953.00 ",66700.00,79489,23953,29500,12789,0.03,e
12," 20,000.00 ", 0.25 ,581.18,F," 60,000.00 "," 170,739.00 ",23600.00,180995,17437,12800,2293,0.15,r
13," 24,000.00 ", 0.08 ,750.97,A," 90,000.00 "," 291,753.00 ",129800.00,363521,100538,77300,19971,0.07,w
14," 5,000.00 ", 0.09 ,158.77,A," 126,000.00 "," 372,094.00 ",,445800,29352,93800,0,0.05,e
15," 1,200.00 ", 0.14 ,41.29,C," 60,000.00 "," 265,097.00 ",28800.00,296155,55122,1800,52075,0.14,r
16," 14,400.00 ", 0.21 ,385.53,E," 60,000.00 "," 42,245.00 ",12800.00,56503,42245,6300,43703,-0.15,w
17," 35,000.00 ", 0.12 ,1162.34,B," 150,000.00 "," 492,259.00 ",35200.00,555629,46120,28700,26437,0.11,e
18," 35,000.00 ", 0.14 ,1195.88,C," 92,500.00 "," 120,103.00 ",50600.00,171506,66649,34300,55254,0.13,r
19," 13,475.00 ", 0.23 ,379.1,E," 50,000.00 "," 48,868.00 ",16300.00,63944,48868,13600,47644,0.30,w
20," 7,200.00 ", 0.15 ,249.52,C," 32,000.00 "," 18,872.00 ",19100.00,34887,18872,4900,15787,-0.38,e
21," 25,000.00 ", 0.13 ,840.55,B," 65,200.00 "," 201,042.00 ",29800.00,216406,72912,17000,52061,0.12,r
22," 4,800.00 ", 0.14 ,164.01,C," 57,000.00 "," 11,351.00 ",5800.00,31902,11351,5300,26102,0.12,w
23," 7,800.00 ", 0.10 ,250.48,B," 79,000.00 "," 134,522.00 ",28000.00,161044,15776,11800,9544,0.08,e
24," 35,000.00 ", 0.14 ,814.03,C," 98,217.00 "," 177,902.00 ",41000.00,259954,26296,34900,63939,0.11,r
25," 6,000.00 ", 0.18 ,215.63,D," 30,000.00 "," 121,641.00 ",16400.00,134255,11322,4500,0,0.15,w
26," 7,200.00 ", 0.12 ,239.11,B," 82,000.00 "," 161,186.00 ",11414.00,188462,38767,5700,45901,0.11,e
27," 12,000.00 ", 0.14 ,407.4,B," 60,000.00 "," 16,491.00 ",9200.00,24597,16491,2800,15397,0.07,r
28," 20,000.00 ", 0.07 ,614.08,A," 82,000.00 "," 193,154.00 ",31500.00,232604,53869,19500,56027,0.05,w
29," 10,000.00 ", 0.23 ,389.19,E," 57,000.00 "," 86,063.00 ",10400.00,81649,86063,9600,71249,0.00,e
30," 15,000.00 ", 0.11 ,491.01,B," 89,125.00 "," 119,917.00 ",30300.00,169155,30339,25000,20055,0.10,r
31," 24,000.00 ", 0.07 ,736.89,A," 114,052.00 "," 32,611.00 ",42000.00,92622,32611,37500,50622,0.03,w
32," 18,000.00 ", 0.16 ,440.03,C," 65,109.00 "," 149,358.00 ",30600.00,195400,43500,19500,38500,0.13,e
33," 28,000.00 ", 0.08 ,876.13,A," 75,000.00 "," 165,225.00 ",53200.00,213015,82766,24600,54154,0.06,r
34," 19,000.00 ", 0.17 ,677.31,D," 48,000.00 "," 24,502.00 ",36100.00,36100,24502,14900,0,0.04,w
35," 10,000.00 ", 0.10 ,321.13,B," 30,000.00 "," 30,484.00 ",11600.00,41499,30484,5800,29899,0.08,e
36," 30,000.00 ", 0.09 ,952.6,A," 150,000.00 "," 566,067.00 ",42000.00,620234,315941,42000,312972,0.08,r
37," 9,600.00 ", 0.09 ,304.84,A," 65,000.00 "," 115,895.00 ",34200.00,148601,40845,20000,30715,0.08,w
38," 20,000.00 ", 0.13 ,672.44,B," 125,000.00 "," 187,495.00 ",23200.00,214903,78121,8600,69796,0.09,e
39," 20,000.00 ", 0.16 ,488.92,C," 130,000.00 "," 185,870.00 ",9500.00,214753,66743,5500,85724,0.23,r
40," 25,000.00 ", 0.14 ,848.75,B," 73,000.00 "," 19,846.00 ",28400.00,51417,19846,21800,23017,0.05,w
41," 4,400.00 ", 0.08 ,137.68,A," 89,000.00 "," 236,458.00 ",49900.00,267588,70789,49900,47473,0.07,e
42," 22,000.00 ", 0.16 ,537.81,C," 80,000.00 "," 68,523.00 ",39000.00,103403,68523,21000,64403,-0.73,r
43," 11,200.00 ", 0.07 ,343.89,A," 56,000.00 "," 162,485.00 ",66400.00,215600,13962,50000,0,0.03,w
44," 20,000.00 ", 0.13 ,672.44,B," 67,000.00 "," 40,308.00 ",44900.00,68145,40308,33700,23245,0.12,e
45," 11,000.00 ", 0.08 ,344.2,A," 75,000.00 "," 170,742.00 ",73200.00,236500,43156,62400,33000,0.07,r
46," 18,250.00 ", 0.18 ,662.08,D," 95,000.00 "," 79,889.00 ",30200.00,124409,29178,16100,19809,-0.09,w
47," 10,000.00 ", 0.13 ,336.22,B," 47,000.00 "," 191,498.00 ",9100.00,202992,11301,6800,10473,0.08,e
48," 25,000.00 ", 0.15 ,866.39,C," 65,000.00 "," 77,600.00 ",57700.00,111296,77600,39000,53008,0.15,r
49," 10,000.00 ", 0.14 ,339.5,B," 53,465.00 "," 45,672.00 ",6600.00,50928,45672,3100,44328,-0.20,w
50," 14,000.00 ", 0.20 ,370.69,D," 40,000.00 "," 92,517.00 ",13200.00,100495,10603,11800,2704,0.00,e
51," 19,800.00 ", 0.14 ,465.56,C," 116,000.00 "," 291,152.00 ",40300.00,327451,136016,15200,115813,0.07,r
52," 8,000.00 ", 0.14 ,275.26,C," 35,000.00 "," 39,848.00 ",10900.00,42403,39848,6100,31503,0.06,w
53," 30,000.00 ", 0.20 ,794.32,D," 120,400.00 "," 236,033.00 ",26000.00,288281,58526,19500,68448,0.07,e
54," 6,500.00 ", 0.09 ,206.4,A," 92,000.00 "," 85,139.00 ",34900.00,103538,85139,33500,68638,0.02,r
55," 8,000.00 ", 0.18 ,290.23,D," 70,000.00 "," 115,183.00 ",3800.00,141239,22293,0,22939,0.02,w
56," 18,000.00 ", 0.17 ,447.25,D," 60,000.00 "," 292,044.00 ",26700.00,323683,54908,23000,40983,0.05,e
57," 12,375.00 ", 0.18 ,448.94,D," 32,000.00 "," 11,043.00 ",19400.00,40319,11043,5600,20919,-0.22,r
58," 20,050.00 ", 0.12 ,665.86,B," 45,000.00 "," 21,747.00 ",27700.00,35220,21747,20700,7520,0.12,w
59," 6,000.00 ", 0.06 ,182.62,A," 42,000.00 "," 101,545.00 ",7100.00,117875,11741,1100,10567,0.05,e
60," 5,600.00 ", 0.08 ,174.51,A," 44,000.00 "," 29,340.00 ",27500.00,58937,29340,14300,27906,0.07,r
61," 30,400.00 ", 0.16 ,743.16,C," 92,500.00 "," 360,669.00 ",77500.00,436802,78027,64200,69552,0.16,w
62," 12,000.00 ", 0.14 ,407.4,B," 85,000.00 "," 36,607.00 ",49400.00,49400,36607,49400,0,0.08,e
63," 11,200.00 ", 0.06 ,340.88,A," 82,000.00 "," 287,224.00 ",60100.00,359071,47097,27700,57900,0.04,r
64," 16,000.00 ", 0.08 ,500.65,A," 104,000.00 "," 322,621.00 ",34800.00,378287,33832,22100,18487,0.07,w
65," 8,000.00 ", 0.15 ,277.25,C," 120,000.00 ",,,0,0,0,0,0.07,e
66," 15,150.00 ", 0.11 ,495.92,B," 43,200.00 "," 117,209.00 ",25000.00,173103,33357,0,40103,0.03,r
67," 10,000.00 ", 0.11 ,327.34,B," 53,100.00 "," 204,422.00 ",46900.00,243026,35569,24600,22639,0.10,w
68," 15,000.00 ", 0.10 ,481.69,B," 72,000.00 "," 191,943.00 ",15300.00,219841,31395,10900,39584,0.09,e
69," 5,600.00 ", 0.14 ,192.68,C," 32,000.00 "," 15,431.00 ",11400.00,26618,15431,800,15218,0.02,r
70," 15,000.00 ", 0.09 ,476.3,A," 70,000.00 "," 46,356.00 ",17400.00,68209,46356,10000,50809,0.04,w
71," 6,500.00 ", 0.09 ,206.4,A," 52,000.00 "," 49,484.00 ",13600.00,87905,49484,11100,74305,-0.05,e
72," 3,000.00 ", 0.16 ,104.9,C," 92,000.00 "," 261,508.00 ",9200.00,276528,25746,4500,26766,0.13,r
73," 5,400.00 ", 0.14 ,184.51,C," 45,000.00 "," 50,408.00 ",3800.00,63695,50408,3800,59895,0.08,w
74," 8,000.00 ", 0.13 ,268.98,B," 48,000.00 "," 24,971.00 ",12000.00,35315,24971,9000,22900,-0.29,e
75," 16,400.00 ", 0.18 ,418.69,D," 52,000.00 "," 69,036.00 ",32900.00,93464,69036,17700,60564,0.29,r
76," 12,000.00 ", 0.16 ,293.35,C," 49,191.00 "," 233,925.00 ",56100.00,272325,25963,33700,0,0.07,w
77," 10,000.00 ", 0.10 ,321.13,B," 30,000.00 "," 85,268.00 ",12400.00,107581,10793,2000,15181,0.09,e
78," 9,000.00 ", 0.12 ,298.89,B," 27,000.00 "," 16,005.00 ",7700.00,19123,16005,7400,11423,0.11,r
79," 24,000.00 ", 0.06 ,730.46,A," 125,000.00 "," 272,389.00 ",64300.00,430640,59147,62300,40215,0.05,w
80," 14,000.00 ", 0.18 ,507.9,D," 42,000.00 "," 15,202.00 ",11300.00,38345,15202,8700,27045,-0.80,e
81," 5,600.00 ", 0.09 ,177.82,A," 45,000.00 "," 37,907.00 ",12500.00,56527,37907,5900,44027,0.07,r
82," 12,000.00 ", 0.15 ,415.87,C," 80,000.00 "," 133,345.00 ",23600.00,173491,17520,19600,27638,-0.21,w
83," 6,000.00 ", 0.10 ,192.68,B," 40,000.00 "," 173,459.00 ",18500.00,191121,19770,7800,15519,-0.81,e
84," 24,000.00 ", 0.18 ,612.72,D," 70,000.00 "," 269,380.00 ",30800.00,293327,71105,17900,61241,0.26,r
85," 15,000.00 ", 0.14 ,348.87,C," 44,000.00 "," 103,482.00 ",11720.00,116065,33841,5520,27758,-0.26,w
